0.016,None,
0.032,None,
0.048,None,
0.064,D3,
0.08,C3,
0.096,C#3,
0.112,C#3,
0.128,D3,
0.144,D#3,
0.16,D#3,
0.176,None,
0.192,None,
0.208,None,
0.224,G1,
0.24,D#3,
0.256,G3,
0.272,F3,
0.288,F3,
0.304,F3,
0.32,F3,
0.336,F3,
0.352,F3,
0.368,F3,
0.384,F3,
0.4,F3,
0.416,E3,
0.432,D#3,
0.448,None,
0.464,None,
0.48,None,
0.496,None,
0.512,None,
0.528,None,
0.544,C#2,
0.56,D3,
0.576,C#3,
0.592,C#3,
0.608,C#3,
0.624,C#3,
0.64,C#3,
0.656,C#3,
0.672,None,
0.688,None,
0.704,None,
0.72,None,
0.736,C3,
0.752,E2,
0.768,A#2,
0.784,A#2,
0.8,B2,
0.816,B2,
0.832,B2,
0.848,B2,
0.864,B2,
0.88,None,
0.896,None,
0.912,None,
0.928,None,
0.944,None,
0.96,None,
0.976,G2,
0.992,C#3,
1.008,D#2,
1.024,D3,
1.04,C3,
1.056,B2,
1.072,B2,
1.088,A#2,
1.104,A2,
1.12,G#2,
1.136,F#1,
1.152,G2,
1.168,F#2,
1.184,F#2,
1.2,F#2,
1.216,F#2,
1.232,F#2,
1.248,F2,
1.264,None,
1.28,None,
1.296,None,
1.312,None,
1.328,None,
1.344,None,
1.36,None,
1.376,None,
1.392,None,
1.408,None,
1.424,None,
1.44,None,
1.456,None,
1.472,None,
1.486,None,
1.494,None,
